Tweet Id,Ticker,Datetime,Text,Favs,RTs,Followers,Following,Is a RT,Sentiment
743020719542534145,csx,2016-06-15 10:01:00,weekly nasdaq100 trend symc txn chtr isrg intc cost yhoo csx ulta ca atvi lltc csco cmcsa,0.0,0.0,870.0,7.0,False,0
742930894667812864,csx,2016-06-15 04:05:00,nsc csx union pacific compete norfolk southern csx,0.0,0.0,767.0,1.0,False,1
742930392139898880,csx,2016-06-15 04:03:00,union pacific compete norfolk southern csx,0.0,0.0,356.0,1.0,False,0
742930388788621312,csx,2016-06-15 04:03:00,union pacific compete norfolk southern csx,0.0,0.0,2116.0,29.0,False,0
742755650204143617,csx,2016-06-14 16:28:00,annual corporate social responsibility report read,0.0,0.0,16.0,3.0,False,1
742887683966545920,csx,2016-06-15 01:13:00,union pacific vs canadian national better investment,0.0,0.0,654.0,2043.0,False,1
742878481973923840,csx,2016-06-15 00:36:00,low pole,0.0,0.0,4864.0,2512.0,False,1
742854648495759360,csx,2016-06-14 23:02:00,nasdaq100 trend symc txn chtr isrg intc cost yhoo ulta ca csx atvi csco cmcsa lltc dish,0.0,0.0,870.0,7.0,False,1
742808733743493122,csx,2016-06-14 19:59:00,nasdaq100 trend symc txn intc cost yhoo isrg ulta ca chtr lltc dish avgo nvda csx srcl,0.0,0.0,869.0,7.0,False,1
742746320184717312,csx,2016-06-14 15:51:00,nasdaq100 trend chtr intc symc isrg nvda ulta csx txn cost ca pcln csco hsic avgo dish,0.0,0.0,869.0,7.0,False,0
742739178149052417,csx,2016-06-14 15:23:00,csx co csx shares sold blackrock fund advisors,0.0,0.0,529.0,6.0,False,1
742733593890414596,csx,2016-06-14 15:01:00,csx csx publishes annual corporate social responsibility report,0.0,0.0,945.0,9.0,False,0
742727521234497536,csx,2016-06-14 14:36:00,csx co csx shares sold blackrock fund advisors,0.0,0.0,1171.0,58.0,False,1
742726114452344832,csx,2016-06-14 14:31:00,csx publishes annual corporate social responsibility report csx,0.0,0.0,496.0,260.0,False,1
742721625464803328,csx,2016-06-14 14:13:00,union pacific vs canadian national better investment,0.0,0.0,261.0,387.0,False,1
742702839672242176,csx,2016-06-14 12:58:00,traffic struggles unp cp nsc csx ksu cni,0.0,0.0,366.0,491.0,False,0
742687673446477824,csx,2016-06-14 11:58:00,csx co csx stock rating reaffirmed bmo capital markets,0.0,0.0,998.0,0.0,False,1
742658320201289729,csx,2016-06-14 10:01:00,weekly nasdaq100 trend chtr intc symc isrg nvda ulta csx txn cost ca pcln csco hsic avgo,0.0,0.0,869.0,7.0,False,1
742517745430990848,csx,2016-06-14 00:43:00,nasdaq100 trend hsic isrg cern sbac esrx ctxs csx fisv ebay lltc txn ca ulta dltr dish,0.0,0.0,869.0,7.0,False,1
742516984722665472,csx,2016-06-14 00:40:00,weekly nasdaq100 trend hsic isrg cern csx esrx ctxs fisv sbac ebay lltc ulta txn ca dltr,0.0,0.0,869.0,7.0,False,0
742498383634399232,csx,2016-06-13 23:26:00,rt railroad traffic lower across north america,0.0,1.0,1013.0,792.0,True,1
742496391612764161,csx,2016-06-13 23:18:00,csx corporation csx 26.59 csx stock market news june 09 2016 zacks equity research zacks investment,0.0,0.0,1851.0,446.0,False,1
742493545450311681,csx,2016-06-13 23:07:00,stochastic sell,0.0,0.0,4864.0,2512.0,False,1
742473268884426752,csx,2016-06-13 21:46:00,positions swing account swhc sold today gapup 23.09 21.76 orly testing stop gxp .5 position csx testing stop,0.0,0.0,5123.0,528.0,False,1
742444203263680512,csx,2016-06-13 19:51:00,,0.0,0.0,8.0,37.0,False,0
742401894891573248,csx,2016-06-13 17:02:00,week ended june 4 free fall subdues north american rail traffic vig nsc cni csx,0.0,0.0,1877.0,16.0,False,1
742396631564357633,csx,2016-06-13 16:42:00,like csx setup 27.50 resistance decent trigger,3.0,1.0,12001.0,243.0,False,1
742390087325913088,csx,2016-06-13 16:16:00,1058 csx aug16 27.0 calls dollars .20,0.0,0.0,345.0,4.0,False,1
742314740710576132,csx,2016-06-13 11:16:00,csx freight train carrying liquid propane derails baltimores howard street tunnel,0.0,0.0,21593.0,16864.0,False,1
742294195247951872,csx,2016-06-13 09:55:00,csx co csx position decreased advisor partners llc,0.0,0.0,998.0,0.0,False,1
742288119102382080,csx,2016-06-13 09:30:00,csx’s csx buy rating reaffirmed bmo capital markets,0.0,0.0,771.0,8.0,False,1
